t,ps0,ps7,ps2_raw,ps5_raw,front_raw,front_filtered,dist_kalman,kalman_gain,kalman_P,left_enc,right_enc,linear_adv_m,lv,rv,action
0.064,63.7,70.0,63.8,66.8,66.82,66.82,66.82,0.0698,1.3953,0.0,0.0,0.0,4.0,4.0,FORWARD
0.128,67.8,67.1,71.7,70.2,67.43,67.13,64.46,0.0866,1.7313,0.2575,0.2575,0.005278,4.0,4.0,FORWARD
0.192,69.7,65.0,62.7,69.7,67.35,67.2,62.44,0.1004,2.0073,0.5087,0.5087,0.00515,4.0,4.0,FORWARD
0.256,62.8,70.8,65.0,63.4,66.81,67.1,60.64,0.1114,2.228,0.7599,0.7599,0.00515,4.0,4.0,FORWARD
0.32,72.8,64.9,63.7,64.2,68.85,67.45,59.3,0.12,2.4006,1.0174,1.0174,0.005278,4.0,4.0,FORWARD
0.384,66.8,59.9,57.4,69.3,63.36,66.76,57.51,0.1267,2.5332,1.2748,1.2748,0.005278,4.0,4.0,FORWARD
0.448,67.1,65.0,71.9,67.6,66.02,66.48,56.4,0.1317,2.6338,1.526,1.526,0.00515,4.0,4.0,FORWARD
0.512,71.2,72.5,67.1,54.7,71.85,67.38,56.21,0.1355,2.7092,1.7835,1.7835,0.005278,4.0,4.0,FORWARD
0.576,70.1,68.8,61.4,64.6,69.47,67.91,55.82,0.1383,2.7655,2.0347,2.0347,0.00515,4.0,4.0,FORWARD
0.64,63.3,63.7,74.1,70.8,63.52,66.84,54.63,0.1404,2.8072,2.2922,2.2922,0.005278,4.0,4.0,FORWARD
0.704,68.1,66.6,69.7,65.6,67.33,67.64,54.23,0.1419,2.8379,2.5434,2.5434,0.00515,4.0,4.0,FORWARD
0.768,68.2,73.5,60.3,67.0,70.8,68.59,54.33,0.143,2.8605,2.8009,2.8009,0.005278,4.0,4.0,FORWARD
0.832,66.6,68.5,62.2,72.4,67.55,67.73,54.03,0.1439,2.8771,3.0521,3.0521,0.00515,4.0,4.0,FORWARD
0.896,69.8,69.8,66.0,71.0,69.79,67.8,54.05,0.1445,2.8892,3.3096,3.3096,0.005278,4.0,4.0,FORWARD
0.96,67.5,65.4,69.3,68.3,66.44,68.38,53.64,0.1449,2.8981,3.5608,3.5608,0.00515,4.0,4.0,FORWARD
1.024,72.1,63.6,67.1,62.7,67.82,68.48,53.45,0.1452,2.9046,3.8182,3.8182,0.005278,4.0,4.0,FORWARD
1.088,61.2,67.3,69.3,69.8,64.28,67.17,52.77,0.1455,2.9093,4.0757,4.0757,0.005278,4.0,4.0,FORWARD
1.152,62.1,67.0,64.0,69.3,64.55,66.57,52.28,0.1456,2.9128,4.3269,4.3269,0.00515,4.0,4.0,FORWARD
1.216,67.7,64.7,67.9,66.0,66.17,65.85,52.05,0.1458,2.9153,4.5844,4.5844,0.005278,4.0,4.0,FORWARD
1.28,63.7,70.4,65.8,70.0,67.05,65.97,52.04,0.1459,2.9172,4.8356,4.8356,0.00515,4.0,4.0,FORWARD
1.344,68.0,65.2,62.9,58.0,66.57,65.72,51.91,0.1459,2.9185,5.0931,5.0931,0.005278,4.0,4.0,FORWARD
1.408,67.5,68.8,68.0,66.5,68.16,66.5,52.08,0.146,2.9195,5.3443,5.3443,0.00515,4.0,4.0,FORWARD
1.472,63.6,71.4,62.5,70.1,67.48,67.09,52.08,0.146,2.9202,5.6018,5.6018,0.005278,4.0,4.0,FORWARD
1.536,70.3,59.8,72.2,63.8,65.04,66.86,51.77,0.146,2.9207,5.853,5.853,0.00515,4.0,4.0,FORWARD
1.6,61.1,67.0,66.5,64.5,64.07,66.27,51.31,0.1461,2.9211,6.1104,6.1104,0.005278,4.0,4.0,FORWARD
1.664,61.6,71.0,70.1,69.8,66.3,66.21,51.3,0.1461,2.9214,6.3616,6.3616,0.00515,4.0,4.0,FORWARD
1.728,71.0,64.2,69.0,68.8,67.6,66.1,51.43,0.1461,2.9216,6.6191,6.6191,0.005278,4.0,4.0,FORWARD
1.792,66.0,61.0,64.1,64.0,63.54,65.31,51.0,0.1461,2.9217,6.8703,6.8703,0.00515,4.0,4.0,FORWARD
1.856,68.2,77.7,64.7,69.3,72.93,66.89,51.95,0.1461,2.9219,7.1278,7.1278,0.005278,4.0,4.0,FORWARD
1.92,67.4,71.8,68.0,75.1,69.61,68.0,52.28,0.1461,2.9219,7.3853,7.3853,0.005278,4.0,4.0,FORWARD
1.984,70.1,67.7,68.1,65.8,68.87,68.51,52.5,0.1461,2.922,7.6365,7.6365,0.00515,4.0,4.0,FORWARD
2.048,68.3,71.6,65.0,60.4,69.94,68.98,52.8,0.1461,2.922,7.894,7.894,0.005278,4.0,4.0,FORWARD
2.112,61.1,62.7,68.8,70.5,61.89,68.65,51.93,0.1461,2.9221,8.1452,8.1452,0.00515,4.0,4.0,FORWARD
2.176,67.8,70.9,66.5,65.1,69.37,67.94,52.22,0.1461,2.9221,8.4026,8.4026,0.005278,4.0,4.0,FORWARD
2.24,66.7,68.1,68.5,63.9,67.41,67.5,52.24,0.1461,2.9221,8.6538,8.6538,0.00515,4.0,4.0,FORWARD
2.304,63.9,72.8,65.6,57.6,68.36,67.39,52.34,0.1461,2.9221,8.9113,8.9113,0.005278,4.0,4.0,FORWARD
2.368,68.9,63.0,59.9,61.9,65.93,66.59,52.13,0.1461,2.9221,9.1625,9.1625,0.00515,4.0,4.0,FORWARD
2.432,64.9,68.4,73.3,62.8,66.64,67.54,52.0,0.1461,2.9221,9.42,9.42,0.005278,4.0,4.0,FORWARD
2.496,69.4,67.7,62.1,75.6,68.57,67.38,52.22,0.1461,2.9221,9.6712,9.6712,0.00515,4.0,4.0,FORWARD
2.56,67.1,67.8,64.7,63.0,67.45,67.39,52.19,0.1461,2.9221,9.9287,9.9287,0.005278,4.0,4.0,FORWARD
2.624,60.6,61.1,59.6,76.0,60.87,65.89,51.21,0.1461,2.9221,10.1862,10.1862,0.005278,4.0,4.0,FORWARD
2.688,64.8,66.5,69.7,64.5,65.64,65.84,51.12,0.1461,2.9221,10.4374,10.4374,0.00515,4.0,4.0,FORWARD
2.752,70.3,68.6,69.9,69.7,69.44,66.39,51.54,0.1461,2.9221,10.6948,10.6948,0.005278,4.0,4.0,FORWARD
2.816,65.2,70.8,66.8,69.9,67.99,66.28,51.74,0.1461,2.9221,10.946,10.946,0.00515,4.0,4.0,FORWARD
2.88,68.3,67.1,58.8,56.1,67.7,66.33,51.82,0.1461,2.9221,11.2035,11.2035,0.005278,4.0,4.0,FORWARD
2.944,68.6,66.7,67.8,66.7,67.68,67.69,51.94,0.1461,2.9221,11.4547,11.4547,0.00515,4.0,4.0,FORWARD
3.008,65.1,64.7,67.2,66.6,64.92,67.54,51.58,0.1461,2.9221,11.7122,11.7122,0.005278,4.0,4.0,FORWARD
3.072,62.5,66.9,69.4,63.9,64.72,66.6,51.3,0.1461,2.9221,11.9634,11.9634,0.00515,4.0,4.0,FORWARD
3.136,66.0,70.2,64.7,68.8,68.11,66.63,51.51,0.1461,2.9221,12.2209,12.2209,0.005278,4.0,4.0,FORWARD
3.2,67.6,66.0,76.0,64.0,66.81,66.45,51.54,0.1461,2.9221,12.4721,12.4721,0.00515,4.0,4.0,FORWARD
3.264,71.4,65.1,64.8,69.0,68.23,66.56,51.73,0.1461,2.9221,12.7296,12.7296,0.005278,4.0,4.0,FORWARD
3.328,61.2,63.1,67.1,71.6,62.12,66.0,50.99,0.1461,2.9221,12.987,12.987,0.005278,4.0,4.0,FORWARD
3.392,70.2,67.1,61.7,70.7,68.66,66.78,51.37,0.1461,2.9221,13.2382,13.2382,0.00515,4.0,4.0,FORWARD
3.456,69.1,71.5,67.9,68.1,70.33,67.23,51.89,0.1461,2.9221,13.4957,13.4957,0.005278,4.0,4.0,FORWARD
3.52,60.9,67.0,64.3,63.2,63.97,66.66,51.46,0.1461,2.9221,13.7469,13.7469,0.00515,4.0,4.0,FORWARD
3.584,72.5,62.9,69.9,67.1,67.67,66.55,51.57,0.1461,2.9221,14.0044,14.0044,0.005278,4.0,4.0,FORWARD
3.648,68.7,65.6,64.0,66.3,67.15,67.56,51.65,0.1461,2.9221,14.2556,14.2556,0.00515,4.0,4.0,FORWARD
3.712,60.3,66.6,66.9,66.3,63.46,66.52,51.12,0.1461,2.9221,14.5131,14.5131,0.005278,4.0,4.0,FORWARD
3.776,75.4,72.0,62.3,72.4,73.69,67.19,52.22,0.1461,2.9221,14.7643,14.7643,0.00515,4.0,4.0,FORWARD
3.84,60.3,71.3,68.2,66.0,65.8,67.56,51.95,0.1461,2.9221,15.0218,15.0218,0.005278,4.0,4.0,FORWARD
3.904,61.9,74.6,66.7,67.8,68.25,67.67,52.13,0.1461,2.9221,15.273,15.273,0.00515,4.0,4.0,FORWARD
3.968,70.8,72.2,66.8,72.3,71.5,68.54,52.71,0.1461,2.9221,15.5304,15.5304,0.005278,4.0,4.0,FORWARD
4.032,60.8,69.7,73.2,62.4,65.25,68.9,52.29,0.1461,2.9221,15.7879,15.7879,0.005278,4.0,4.0,FORWARD
4.096,67.4,60.9,67.4,65.4,64.12,66.98,51.82,0.1461,2.9221,16.0391,16.0391,0.00515,4.0,4.0,FORWARD
4.16,66.7,70.0,70.1,68.2,68.33,67.49,51.98,0.1461,2.9221,16.2966,16.2966,0.005278,4.0,4.0,FORWARD
4.224,67.8,68.2,66.1,69.2,68.01,67.44,52.12,0.1461,2.9221,16.5478,16.5478,0.00515,4.0,4.0,FORWARD
4.288,70.5,75.6,71.6,63.6,73.07,67.75,52.93,0.1461,2.9221,16.8053,16.8053,0.005278,4.0,4.0,FORWARD
4.352,66.1,66.8,69.9,64.2,66.44,67.99,52.7,0.1461,2.9221,17.0565,17.0565,0.00515,4.0,4.0,FORWARD
4.416,66.7,70.0,72.0,68.0,68.38,68.85,52.74,0.1461,2.9221,17.314,17.314,0.005278,4.0,4.0,FORWARD
4.48,63.3,74.7,62.4,65.8,69.03,68.99,52.92,0.1461,2.9221,17.5652,17.5652,0.00515,4.0,4.0,FORWARD
4.544,60.4,69.1,65.4,70.7,64.73,68.33,52.39,0.1461,2.9221,17.8226,17.8226,0.005278,4.0,4.0,FORWARD
4.608,68.4,71.5,72.6,70.7,69.95,67.71,52.76,0.1461,2.9221,18.0738,18.0738,0.00515,4.0,4.0,FORWARD
4.672,68.7,62.6,71.5,68.5,65.65,67.55,52.39,0.1461,2.9221,18.3313,18.3313,0.005278,4.0,4.0,FORWARD
4.736,68.6,71.3,65.9,67.2,69.94,67.86,52.7,0.1461,2.9221,18.5888,18.5888,0.005278,4.0,4.0,FORWARD
4.8,65.3,68.4,63.2,68.1,66.85,67.42,52.57,0.1461,2.9221,18.84,18.84,0.00515,4.0,4.0,FORWARD
4.864,64.8,64.7,64.5,69.9,64.76,67.43,52.1,0.1461,2.9221,19.0975,19.0975,0.005278,4.0,4.0,FORWARD
4.928,69.0,65.3,63.1,67.5,67.17,66.87,52.1,0.1461,2.9221,19.3487,19.3487,0.00515,4.0,4.0,FORWARD
4.992,67.8,66.2,69.2,64.1,66.97,67.14,52.02,0.1461,2.9221,19.6062,19.6062,0.005278,4.0,4.0,FORWARD
5.056,65.5,70.8,64.4,70.9,68.14,66.78,52.18,0.1461,2.9221,19.8574,19.8574,0.00515,4.0,4.0,FORWARD
5.12,70.6,65.6,66.9,72.2,68.1,67.03,52.25,0.1461,2.9221,20.1148,20.1148,0.005278,4.0,4.0,FORWARD
5.184,64.2,71.1,67.5,63.3,67.67,67.61,52.3,0.1461,2.9221,20.366,20.366,0.00515,4.0,4.0,FORWARD
5.248,59.8,69.1,68.7,67.3,64.48,67.07,51.83,0.1461,2.9221,20.6235,20.6235,0.005278,4.0,4.0,FORWARD
5.312,65.8,71.9,71.7,70.1,68.85,67.45,52.12,0.1461,2.9221,20.8747,20.8747,0.00515,4.0,4.0,FORWARD
5.376,69.3,70.3,61.1,74.5,69.8,67.78,52.45,0.1461,2.9221,21.1322,21.1322,0.005278,4.0,4.0,FORWARD
5.44,67.9,69.7,63.9,67.3,68.84,67.93,52.64,0.1461,2.9221,21.3834,21.3834,0.00515,4.0,4.0,FORWARD
5.504,62.9,71.0,64.5,69.2,66.93,67.78,52.48,0.1461,2.9221,21.6409,21.6409,0.005278,4.0,4.0,FORWARD
5.568,63.3,66.8,66.4,70.2,65.07,67.9,52.06,0.1461,2.9221,21.8984,21.8984,0.005278,4.0,4.0,FORWARD
5.632,70.5,69.8,68.7,67.2,70.17,68.16,52.51,0.1461,2.9221,22.1496,22.1496,0.00515,4.0,4.0,FORWARD
5.696,65.6,68.9,67.2,62.4,67.26,67.65,52.41,0.1461,2.9221,22.407,22.407,0.005278,4.0,4.0,FORWARD
5.76,61.3,70.3,64.7,72.1,65.8,67.05,52.17,0.1461,2.9221,22.6582,22.6582,0.00515,4.0,4.0,FORWARD
5.824,68.0,75.6,71.4,67.2,71.8,68.02,52.78,0.1461,2.9221,22.9157,22.9157,0.005278,4.0,4.0,FORWARD
5.888,69.6,68.5,62.0,64.9,69.03,68.81,52.96,0.1461,2.9221,23.1669,23.1669,0.00515,4.0,4.0,FORWARD
5.952,64.8,68.1,78.1,70.8,66.46,68.07,52.68,0.1461,2.9221,23.4244,23.4244,0.005278,4.0,4.0,FORWARD
6.016,63.6,65.0,69.4,68.1,64.3,67.48,52.18,0.1461,2.9221,23.6756,23.6756,0.00515,4.0,4.0,FORWARD
6.08,68.3,66.9,65.2,60.8,67.6,67.84,52.18,0.1461,2.9221,23.9331,23.9331,0.005278,4.0,4.0,FORWARD
6.144,69.0,68.1,70.2,74.4,68.59,67.19,52.38,0.1461,2.9221,24.1843,24.1843,0.00515,4.0,4.0,FORWARD
6.208,67.2,65.3,62.6,74.1,66.28,66.65,52.15,0.1461,2.9221,24.4418,24.4418,0.005278,4.0,4.0,FORWARD
6.272,68.6,65.4,68.1,64.6,67.03,66.76,52.07,0.1461,2.9221,24.6992,24.6992,0.005278,4.0,4.0,FORWARD
6.336,70.9,69.5,67.5,70.6,70.2,67.94,52.52,0.1461,2.9221,24.9504,24.9504,0.00515,4.0,4.0,FORWARD
6.4,66.8,67.8,71.9,69.4,67.28,67.88,52.43,0.1461,2.9221,25.2079,25.2079,0.005278,4.0,4.0,FORWARD
6.464,68.3,65.1,71.6,63.8,66.68,67.49,52.31,0.1461,2.9221,25.4591,25.4591,0.00515,4.0,4.0,FORWARD
6.528,73.9,64.6,71.6,63.2,69.27,68.09,52.53,0.1461,2.9221,25.7166,25.7166,0.005278,4.0,4.0,FORWARD
6.592,72.2,61.3,67.2,74.9,66.72,68.03,52.41,0.1461,2.9221,25.9678,25.9678,0.00515,4.0,4.0,FORWARD
6.656,63.4,71.7,67.8,63.9,67.56,67.5,52.37,0.1461,2.9221,26.2253,26.2253,0.005278,4.0,4.0,FORWARD
6.72,66.3,61.2,70.0,69.6,63.73,66.79,51.83,0.1461,2.9221,26.4765,26.4765,0.00515,4.0,4.0,FORWARD
6.784,72.6,68.9,69.3,66.1,70.74,67.6,52.34,0.1461,2.9221,26.734,26.734,0.005278,4.0,4.0,FORWARD
6.848,63.7,68.5,71.3,64.5,66.08,66.97,52.15,0.1461,2.9221,26.9852,26.9852,0.00515,4.0,4.0,FORWARD
6.912,71.3,66.6,67.2,65.4,68.91,67.41,52.35,0.1461,2.9221,27.2426,27.2426,0.005278,4.0,4.0,FORWARD
6.976,65.7,63.6,67.5,67.7,64.66,66.83,51.89,0.1461,2.9221,27.5001,27.5001,0.005278,4.0,4.0,FORWARD
7.04,59.1,68.6,68.8,63.3,63.86,66.85,51.44,0.1461,2.9221,27.7513,27.7513,0.00515,4.0,4.0,FORWARD
7.104,64.2,64.4,63.7,63.3,64.31,65.57,51.07,0.1461,2.9221,28.0088,28.0088,0.005278,4.0,4.0,FORWARD
7.168,74.0,63.2,66.6,60.8,68.64,66.08,51.44,0.1461,2.9221,28.26,28.26,0.00515,4.0,4.0,FORWARD
7.232,68.0,62.1,64.1,67.8,65.1,65.31,51.18,0.1461,2.9221,28.5175,28.5175,0.005278,4.0,4.0,FORWARD
7.296,67.2,66.5,66.8,65.2,66.86,65.75,51.27,0.1461,2.9221,28.7687,28.7687,0.00515,4.0,4.0,FORWARD
7.36,68.3,64.8,67.2,66.3,66.54,66.29,51.25,0.1461,2.9221,29.0262,29.0262,0.005278,4.0,4.0,FORWARD
7.424,63.3,65.2,68.8,70.9,64.26,66.28,50.95,0.1461,2.9221,29.2774,29.2774,0.00515,4.0,4.0,FORWARD
7.488,67.1,72.9,68.5,65.1,69.98,66.55,51.48,0.1461,2.9221,29.5348,29.5348,0.005278,4.0,4.0,FORWARD
7.552,67.0,65.9,65.2,64.1,66.41,66.81,51.46,0.1461,2.9221,29.786,29.786,0.00515,4.0,4.0,FORWARD
7.616,68.9,70.6,69.4,64.8,69.75,67.39,51.88,0.1461,2.9221,30.0435,30.0435,0.005278,4.0,4.0,FORWARD
7.68,70.0,68.0,67.2,69.8,69.02,67.89,52.13,0.1461,2.9221,30.301,30.301,0.005278,4.0,4.0,FORWARD
7.744,65.1,67.1,65.0,63.1,66.12,68.26,51.98,0.1461,2.9221,30.5522,30.5522,0.00515,4.0,4.0,FORWARD
7.808,62.2,67.8,67.2,67.5,65.01,67.26,51.63,0.1461,2.9221,30.8097,30.8097,0.005278,4.0,4.0,FORWARD
7.872,68.6,66.5,69.7,68.8,67.55,67.49,51.75,0.1461,2.9221,31.0609,31.0609,0.00515,4.0,4.0,FORWARD
7.936,62.7,62.8,66.3,66.9,62.77,66.09,51.11,0.1461,2.9221,31.3184,31.3184,0.005278,4.0,4.0,FORWARD
8.0,68.7,70.4,69.8,68.1,69.53,66.19,51.6,0.1461,2.9221,31.5696,31.5696,0.00515,4.0,4.0,FORWARD
8.064,63.6,60.4,61.4,62.1,62.01,65.37,50.87,0.1461,2.9221,31.827,31.827,0.005278,4.0,4.0,FORWARD
8.128,67.3,70.2,66.1,68.8,68.76,66.12,51.28,0.1461,2.9221,32.0782,32.0782,0.00515,4.0,4.0,FORWARD
8.192,69.2,63.5,72.8,70.2,66.33,65.88,51.23,0.1461,2.9221,32.3357,32.3357,0.005278,4.0,4.0,FORWARD
8.256,70.2,63.1,67.8,67.8,66.65,66.66,51.28,0.1461,2.9221,32.5869,32.5869,0.00515,4.0,4.0,FORWARD
8.32,64.3,67.2,69.2,64.9,65.79,65.91,51.15,0.1461,2.9221,32.8444,32.8444,0.005278,4.0,4.0,FORWARD
8.384,69.9,64.6,64.1,72.7,67.29,66.96,51.26,0.1461,2.9221,33.1019,33.1019,0.005278,4.0,4.0,FORWARD
8.448,64.4,67.4,66.8,69.0,65.87,66.39,51.19,0.1461,2.9221,33.3531,33.3531,0.00515,4.0,4.0,FORWARD
8.512,68.6,65.3,69.7,67.7,66.92,66.51,51.24,0.1461,2.9221,33.6106,33.6106,0.005278,4.0,4.0,FORWARD
8.576,61.0,63.8,72.8,56.2,62.41,65.66,50.67,0.1461,2.9221,33.8618,33.8618,0.00515,4.0,4.0,FORWARD
8.64,67.2,69.7,63.8,62.3,68.45,66.19,51.01,0.1461,2.9221,34.1192,34.1192,0.005278,4.0,4.0,FORWARD
8.704,71.5,65.5,66.1,62.2,68.5,66.43,51.37,0.1461,2.9221,34.3704,34.3704,0.00515,4.0,4.0,FORWARD
8.768,66.8,64.4,69.1,70.9,65.62,66.38,51.2,0.1461,2.9221,34.6279,34.6279,0.005278,4.0,4.0,FORWARD
8.832,67.9,59.2,63.3,61.9,63.55,65.7,50.8,0.1461,2.9221,34.8791,34.8791,0.00515,4.0,4.0,FORWARD
8.896,65.3,74.6,64.8,72.0,69.95,67.21,51.35,0.1461,2.9221,35.1366,35.1366,0.005278,4.0,4.0,FORWARD
8.96,68.6,68.6,69.1,66.2,68.61,67.24,51.67,0.1461,2.9221,35.3878,35.3878,0.00515,4.0,4.0,FORWARD
9.024,69.5,69.1,65.4,68.2,69.26,67.4,51.99,0.1461,2.9221,35.6453,35.6453,0.005278,4.0,4.0,FORWARD
9.088,72.9,67.7,61.0,65.5,70.3,68.33,52.46,0.1461,2.9221,35.8965,35.8965,0.00515,4.0,4.0,FORWARD
9.152,74.5,65.4,69.5,61.3,69.95,69.61,52.77,0.1461,2.9221,36.154,36.154,0.005278,4.0,4.0,FORWARD
9.216,62.0,64.1,65.6,65.9,63.07,68.24,52.02,0.1461,2.9221,36.4114,36.4114,0.005278,4.0,4.0,FORWARD
9.28,66.5,69.7,66.8,71.0,68.09,68.13,52.17,0.1461,2.9221,36.6626,36.6626,0.00515,4.0,4.0,FORWARD
9.344,65.9,65.7,68.9,70.2,65.81,67.44,51.91,0.1461,2.9221,36.9201,36.9201,0.005278,4.0,4.0,FORWARD
9.408,70.6,64.5,68.9,68.3,67.56,66.89,52.0,0.1461,2.9221,37.1713,37.1713,0.00515,4.0,4.0,FORWARD
9.472,72.8,64.8,70.7,66.4,68.81,66.67,52.2,0.1461,2.9221,37.4288,37.4288,0.005278,4.0,4.0,FORWARD
9.536,63.2,70.3,73.8,64.9,66.8,67.41,52.13,0.1461,2.9221,37.68,37.68,0.00515,4.0,4.0,FORWARD
9.6,65.9,66.9,71.1,68.3,66.38,67.07,51.96,0.1461,2.9221,37.9375,37.9375,0.005278,4.0,4.0,FORWARD
9.664,66.0,67.4,70.7,67.5,66.69,67.25,51.91,0.1461,2.9221,38.1887,38.1887,0.00515,4.0,4.0,FORWARD
9.728,73.9,64.0,63.7,65.6,68.94,67.52,52.15,0.1461,2.9221,38.4462,38.4462,0.005278,4.0,4.0,FORWARD
9.792,69.0,61.8,67.1,66.1,65.41,66.84,51.89,0.1461,2.9221,38.6974,38.6974,0.00515,4.0,4.0,FORWARD
9.856,70.0,63.9,61.0,66.4,66.94,66.87,51.83,0.1461,2.9221,38.9548,38.9548,0.005278,4.0,4.0,FORWARD
9.92,60.7,72.6,68.5,67.2,66.63,66.92,51.74,0.1461,2.9221,39.2123,39.2123,0.005278,4.0,4.0,FORWARD
9.984,66.8,61.4,64.8,61.2,64.11,66.41,51.35,0.1461,2.9221,39.4635,39.4635,0.00515,4.0,4.0,FORWARD
10.048,66.3,66.1,62.3,66.8,66.17,65.85,51.26,0.1461,2.9221,39.721,39.721,0.005278,4.0,4.0,FORWARD
10.112,74.3,64.1,67.5,68.3,69.21,66.62,51.69,0.1461,2.9221,39.9722,39.9722,0.00515,4.0,4.0,FORWARD
10.176,66.1,62.0,67.2,68.8,64.01,66.03,51.23,0.1461,2.9221,40.2297,40.2297,0.005278,4.0,4.0,FORWARD
10.24,67.1,68.4,66.3,58.7,67.78,66.26,51.45,0.1461,2.9221,40.4809,40.4809,0.00515,4.0,4.0,FORWARD
10.304,65.0,63.5,69.3,61.7,64.25,66.29,51.07,0.1461,2.9221,40.7384,40.7384,0.005278,4.0,4.0,FORWARD
10.368,73.0,71.2,65.8,69.8,72.09,67.47,51.94,0.1461,2.9221,40.9896,40.9896,0.00515,4.0,4.0,FORWARD
10.432,59.6,76.5,73.1,67.9,68.04,67.24,52.04,0.1461,2.9221,41.247,41.247,0.005278,4.0,4.0,FORWARD
10.496,61.3,68.7,66.3,67.9,64.96,67.43,51.73,0.1461,2.9221,41.4982,41.4982,0.00515,4.0,4.0,FORWARD
10.56,66.6,69.0,74.5,73.1,67.81,67.43,51.83,0.1461,2.9221,41.7557,41.7557,0.005278,4.0,4.0,FORWARD
10.624,67.3,68.2,71.4,71.6,67.78,68.14,51.9,0.1461,2.9221,42.0132,42.0132,0.005278,4.0,4.0,FORWARD
10.688,66.8,75.1,66.2,64.8,70.94,67.91,52.49,0.1461,2.9221,42.2644,42.2644,0.00515,4.0,4.0,FORWARD
10.752,65.1,69.3,60.5,64.4,67.21,67.74,52.38,0.1461,2.9221,42.5219,42.5219,0.005278,4.0,4.0,FORWARD
10.816,65.2,66.4,68.2,65.3,65.81,67.91,52.15,0.1461,2.9221,42.7731,42.7731,0.00515,4.0,4.0,FORWARD
10.88,67.1,67.3,66.4,71.2,67.2,67.79,52.09,0.1461,2.9221,43.0306,43.0306,0.005278,4.0,4.0,FORWARD
10.944,70.6,65.8,60.9,72.0,68.21,67.87,52.25,0.1461,2.9221,43.2818,43.2818,0.00515,4.0,4.0,FORWARD
11.008,67.9,61.6,64.0,72.1,64.75,66.64,51.82,0.1461,2.9221,43.5392,43.5392,0.005278,4.0,4.0,FORWARD
11.072,63.6,72.3,69.9,61.7,67.92,66.78,51.98,0.1461,2.9221,43.7904,43.7904,0.00515,4.0,4.0,FORWARD
11.136,66.7,69.1,69.4,67.1,67.9,67.2,52.05,0.1461,2.9221,44.0479,44.0479,0.005278,4.0,4.0,FORWARD
11.2,65.4,70.1,69.3,65.0,67.76,67.31,52.14,0.1461,2.9221,44.2991,44.2991,0.00515,4.0,4.0,FORWARD
11.264,66.5,67.1,67.0,63.0,66.84,67.03,52.04,0.1461,2.9221,44.5566,44.5566,0.005278,4.0,4.0,FORWARD
11.328,70.4,63.7,69.7,68.8,67.04,67.49,51.98,0.1461,2.9221,44.8141,44.8141,0.005278,4.0,4.0,FORWARD
11.392,72.7,67.6,74.3,68.9,70.17,67.94,52.44,0.1461,2.9221,45.0653,45.0653,0.00515,4.0,4.0,FORWARD
11.456,66.8,71.1,70.1,71.6,68.98,68.16,52.6,0.1461,2.9221,45.3228,45.3228,0.005278,4.0,4.0,FORWARD
11.52,69.9,66.9,66.8,70.4,68.37,68.28,52.71,0.1461,2.9221,45.574,45.574,0.00515,4.0,4.0,FORWARD
11.584,68.5,62.5,66.9,65.3,65.46,68.0,52.32,0.1461,2.9221,45.8314,45.8314,0.005278,4.0,4.0,FORWARD
11.648,104.0,99.7,64.3,72.6,101.86,74.97,57.36,0.1461,2.9221,46.0826,46.0826,0.00515,4.5,-4.5,TURN_RIGHT(default)
11.712,66.9,111.4,70.5,65.8,89.16,78.77,62.0,0.1461,2.9221,46.3652,45.8,0.0,4.5,-4.5,TURN_RIGHT(default)
11.776,64.6,104.6,69.2,67.4,84.62,81.89,65.28,0.1461,2.9221,46.6541,45.5174,6.4e-05,4.5,-4.5,TURN_RIGHT(default)
11.84,63.9,107.3,67.2,66.2,85.62,85.34,68.28,0.1461,2.9221,46.9367,45.2286,-6.4e-05,4.5,-4.5,TURN_RIGHT(default)
11.904,70.2,111.4,70.6,70.8,90.79,90.41,71.54,0.1461,2.9221,47.2256,44.946,6.4e-05,4.5,-4.5,TURN_RIGHT(default)
11.968,67.4,102.8,66.3,70.0,85.07,87.05,73.52,0.1461,2.9221,47.5145,44.6571,0.0,4.5,-4.5,TURN_RIGHT(default)
12.032,68.7,109.9,62.8,64.8,89.32,87.08,75.85,0.1461,2.9221,47.7971,44.3682,-6.4e-05,4.5,-4.5,TURN_RIGHT(default)
12.096,63.5,103.5,71.4,73.0,83.51,86.86,76.94,0.1461,2.9221,48.086,44.0856,6.4e-05,4.5,-4.5,TURN_RIGHT(default)
12.16,69.4,106.8,72.8,67.0,88.09,87.36,78.6,0.1461,2.9221,48.3686,43.7967,-6.4e-05,4.5,-4.5,TURN_RIGHT(default)
12.224,61.5,105.1,70.2,64.8,83.33,85.86,79.26,0.1461,2.9221,48.6574,43.5141,6.4e-05,4.5,-4.5,TURN_RIGHT(default)
12.288,65.9,107.5,65.3,64.5,86.72,86.19,80.38,0.1461,2.9221,48.94,43.2252,-6.4e-05,4.5,-4.5,TURN_RIGHT(default)
12.352,66.2,108.8,67.7,59.8,87.47,85.82,81.39,0.1461,2.9221,49.2289,42.9426,6.4e-05,4.5,-4.5,TURN_RIGHT(default)
12.416,62.3,108.5,67.2,69.5,85.4,86.2,81.97,0.1461,2.9221,49.5115,42.66,0.0,4.5,-4.5,TURN_RIGHT(default)
